cod_filial,filial,capacidade_congelado,capacidade_resfriado,capacidade_ambiente,capacidade_total
NBEF03,SAO PAULO,110000,230000,1000,341000
BMG07,SAO LOURENCO,70000,130000,10000,210000
BMG18,MARINGA,60000,120000,0,180000
BMG41,CAMPINAS,50000,150000,60000,260000
NBEF06,PONTA PORA,0,70000,0,70000
NBEF07,CD CAMPO GRANDE,0,170000,0,170000
BMG20,BRASILIA,170000,200000,0,370000
BMG13,PORTO ALEGRE,70000,140000,0,210000
BMG40,CURITIBA,700000,120000,0,820000
BMG03,SAO JOSE,260000,240000,0,500000
BMG15,RIO DE JANEIRO,100000,300000,0,400000
BMG21,HORIZONTE,1200000,380000,380000,1960000